income,debtRatio,latePayments,creditUtilization,risk
2374.27,0.171838,1,0.496148,0
11372.23,0.386415,1,0.412401,0
10571.26,0.360372,5,0.624987,1
3017.60,0.912015,2,0.141107,1
3651.90,0.946948,3,0.314794,1
12598.24,0.776752,1,0.371279,0
4195.30,0.753933,5,0.816085,1
7483.03,0.334202,1,0.973709,0
2932.19,0.565685,5,0.209015,1
11787.93,0.823535,0,0.380085,0
9574.79,0.415160,4,0.794794,1
7130.17,0.326281,1,0.305476,0
6299.87,0.009404,3,0.771108,0
7072.87,0.408542,1,0.542560,0
9123.23,0.510318,4,0.233056,1
14149.02,0.151385,5,0.315070,0
6720.38,0.437524,3,0.990036,1
14580.02,0.486293,5,0.677382,1
8837.40,0.393691,0,0.202156,0
7428.42,0.728026,0,0.397555,0
7157.85,0.034950,0,0.585908,0
11371.56,0.245519,0,0.070367,0
7690.70,0.081635,0,0.067836,0
4693.22,0.199601,4,0.145364,0
5850.51,0.322357,1,0.844121,0
12408.89,0.342713,5,0.555257,1
14355.97,0.158147,0,0.265983,0
3307.20,0.292022,1,0.298230,0
10906.96,0.634942,2,0.957999,1
8419.61,0.526667,1,0.860716,1
8431.28,0.744551,2,0.514616,1
8904.03,0.335188,2,0.854537,1
6996.93,0.158131,0,0.972749,0
13330.88,0.596362,5,0.595012,1
9458.41,0.839809,1,0.186780,0
12919.40,0.832053,3,0.671789,1
12346.79,0.875967,5,0.323054,1
3746.74,0.643794,1,0.345085,1
3043.29,0.612494,1,0.511452,1
6413.42,0.638310,3,0.509332,1
3943.78,0.798290,3,0.668801,1
10061.35,0.816356,1,0.473817,1
2554.75,0.302399,5,0.776802,1
13475.57,0.113831,3,0.852974,0
5129.65,0.057870,1,0.651476,0
4032.07,0.230059,4,0.137950,0
7490.13,0.816628,5,0.917411,1
11144.83,0.535557,4,0.207977,1
3422.01,0.216664,3,0.687963,1
3805.22,0.519142,1,0.803078,1
10747.04,0.332138,5,0.424661,1
11764.74,0.272467,0,0.387941,0
8191.39,0.657942,3,0.084184,0
14337.96,0.154069,2,0.564537,0
11651.72,0.193839,0,0.409599,0
13546.93,0.677100,0,0.805588,0
12155.35,0.481002,5,0.650981,1
2589.73,0.126678,5,0.578957,1
4200.35,0.871038,0,0.101866,0
5323.39,0.524679,5,0.512769,1
2512.88,0.654493,5,0.359320,1
9191.45,0.857353,4,0.520509,1
2575.23,0.935568,2,0.347276,1
12785.74,0.838657,4,0.501390,1
5652.34,0.794151,1,0.332640,1
6523.10,0.297235,5,0.938351,1
2037.02,0.078347,1,0.792498,0
7243.01,0.967569,2,0.158283,1
6087.62,0.896989,3,0.433477,1
14240.03,0.513472,0,0.031352,0
2328.06,0.618980,0,0.421175,0
10758.59,0.491644,3,0.853569,1
13955.44,0.258681,2,0.150244,0
7396.44,0.840280,3,0.301715,1
4611.60,0.284208,2,0.207909,0
4248.33,0.462898,1,0.765806,1
6076.62,0.923764,0,0.016055,0
3395.74,0.931623,2,0.368108,1
12349.39,0.238667,2,0.388662,0
7964.53,0.260078,4,0.723301,1
6890.32,0.060006,3,0.545052,0
9446.51,0.051210,3,0.398776,0
3001.45,0.258996,2,0.306502,0
9773.13,0.377533,4,0.549939,1
8138.50,0.407628,3,0.969186,1
12126.43,0.724325,0,0.336471,0
11937.86,0.174663,2,0.762634,0
2327.26,0.778788,2,0.531235,1
3668.46,0.401011,1,0.097722,0
4070.44,0.347827,3,0.422551,1
7287.78,0.954711,5,0.880343,1
10952.76,0.027064,2,0.026522,0
9669.21,0.751147,0,0.108649,0
10908.45,0.724249,1,0.228843,0
8760.05,0.520683,0,0.682042,0
13780.38,0.250380,3,0.807400,0
10818.04,0.321534,1,0.967539,0
12128.26,0.406652,4,0.877054,1
5294.95,0.487841,4,0.951538,1
5307.95,0.738076,1,0.008555,0
9876.83,0.095024,5,0.378287,0
13170.52,0.917007,0,0.907362,1
4625.92,0.388102,4,0.056048,1
14942.90,0.324896,2,0.504358,0
7652.01,0.737960,5,0.195218,1
8884.26,0.439343,3,0.520152,1
8212.46,0.740143,2,0.558740,1
3142.04,0.091471,2,0.252326,0
14166.81,0.294712,2,0.169140,0
2309.76,0.625987,2,0.703147,1
11384.99,0.506141,0,0.408354,0
7563.57,0.252534,0,0.078339,0
11873.79,0.947499,4,0.549716,1
8620.41,0.247757,5,0.867934,1
11475.97,0.726016,5,0.085394,1
8491.42,0.982945,2,0.197096,1
14837.74,0.701141,3,0.587623,1
7773.32,0.232565,3,0.859130,1
14938.20,0.212699,5,0.762120,1
11276.41,0.796064,3,0.678964,1
5154.60,0.871040,4,0.454201,1
7892.08,0.196203,2,0.655957,0
14256.87,0.296387,1,0.767200,0
6771.03,0.983734,0,0.218360,0
12313.50,0.639773,3,0.849134,1
6183.67,0.246755,0,0.583693,0
11806.10,0.809241,1,0.775211,1
13003.05,0.005349,0,0.400775,0
7152.99,0.714034,0,0.564427,0
12849.84,0.083989,0,0.478090,0
2564.19,0.650776,3,0.555546,1
14243.99,0.337750,5,0.972277,1
6900.83,0.206297,3,0.817795,1
5149.77,0.844125,2,0.025036,1
9063.92,0.505114,4,0.682839,1
2806.27,0.176038,1,0.501356,0
2800.37,0.437961,2,0.957753,1
12076.89,0.934368,1,0.011231,0
9999.80,0.139233,3,0.257195,0
9415.32,0.340705,4,0.817519,1
5094.55,0.318213,5,0.874477,1
4575.01,0.423610,1,0.278776,0
9127.99,0.327879,4,0.242387,0
6735.86,0.093304,4,0.351873,0
5462.44,0.512700,3,0.063012,0
14606.70,0.416953,5,0.999851,1
7950.88,0.652221,2,0.786576,1
3663.46,0.134620,4,0.958701,1
14644.83,0.416015,1,0.730734,0
8621.69,0.247938,3,0.814191,1
10284.44,0.264363,0,0.944287,0
2236.21,0.162422,5,0.161281,1
12143.22,0.288774,1,0.031859,0
2544.09,0.701186,1,0.156153,0
3600.47,0.813381,2,0.131397,1
2825.05,0.596334,5,0.087636,1
12195.86,0.251746,0,0.481872,0
5771.13,0.184621,0,0.510008,0
9654.94,0.406567,2,0.291932,0
5571.99,0.948276,4,0.037202,1
11032.87,0.874355,1,0.775027,1
12655.64,0.708826,1,0.512728,0
5990.35,0.726844,0,0.632145,1
13119.80,0.882223,2,0.785337,1
11032.58,0.198486,4,0.311527,0
4595.43,0.410554,3,0.616373,1
9021.57,0.841432,2,0.793433,1
3258.00,0.034041,5,0.698098,1
2682.63,0.530036,1,0.089206,0
14345.55,0.831049,3,0.452617,1
4386.74,0.153878,3,0.178091,0
4665.19,0.632289,2,0.294141,1
9469.35,0.605109,2,0.002597,0
5364.74,0.565881,5,0.503096,1
14122.54,0.479345,0,0.597477,0
9020.41,0.600242,4,0.163432,1
14034.24,0.580114,5,0.936228,1
9433.47,0.541927,2,0.225031,0
12749.00,0.506266,0,0.336412,0
9960.13,0.700321,4,0.832145,1
14746.15,0.410520,1,0.499366,0
4358.18,0.450791,3,0.901413,1
13283.96,0.333366,2,0.986662,0
14422.76,0.500543,5,0.381740,1
8226.87,0.624678,1,0.282747,0
7285.08,0.666654,1,0.252355,0
9997.49,0.478375,3,0.713826,1
13810.49,0.383452,0,0.938035,0
7715.89,0.756902,1,0.263929,0
12937.38,0.113013,0,0.057071,0
4352.61,0.744770,0,0.829104,1
5100.27,0.859759,2,0.383291,1
9835.76,0.567295,1,0.442867,0
11109.81,0.025358,5,0.117100,0
5751.12,0.725023,1,0.020325,0
6896.48,0.015994,0,0.277541,0
11025.30,0.068578,1,0.763699,0
12813.10,0.222463,1,0.411581,0
12613.06,0.149656,5,0.030480,0
8013.13,0.982759,0,0.539683,1
4419.83,0.159963,5,0.383253,1
9506.71,0.005922,1,0.307166,0
4946.03,0.098363,1,0.278638,0
14945.12,0.946378,5,0.192305,1
5295.59,0.509315,1,0.908483,1
4796.78,0.370151,4,0.306625,1
13588.49,0.759983,2,0.344080,0
2338.78,0.160020,2,0.762904,1
5874.08,0.196678,1,0.364940,0
3308.28,0.689030,0,0.428701,0
13048.48,0.481379,2,0.982823,1
13482.13,0.439364,0,0.606211,0
10018.89,0.837321,1,0.485100,1
5535.52,0.080398,5,0.275319,1
2459.18,0.742494,1,0.725510,1
10895.28,0.421232,5,0.552455,1
9440.33,0.616645,5,0.435887,1
7755.10,0.965499,3,0.488055,1
12266.88,0.879214,4,0.154737,1
8850.96,0.816020,4,0.861591,1
14882.97,0.397220,0,0.474729,0
8805.38,0.368399,4,0.398155,1
6467.62,0.186902,4,0.286120,0
13590.81,0.225848,4,0.496851,0
4260.76,0.887060,0,0.908902,1
6158.24,0.965093,2,0.236978,1
2858.85,0.120235,2,0.975784,1
2312.04,0.441433,0,0.211091,0
6540.11,0.337519,0,0.980553,0
11406.02,0.743158,5,0.943687,1
14302.05,0.620754,3,0.643371,1
6295.73,0.154529,2,0.354899,0
13396.41,0.610907,5,0.317046,1
9570.31,0.036948,3,0.676904,0
4322.50,0.614748,0,0.405889,0
12851.66,0.625435,0,0.267052,0
12041.99,0.118416,1,0.701145,0
11842.89,0.901682,4,0.371462,1
3040.20,0.046999,4,0.911318,1
14902.35,0.341059,2,0.594158,0
12066.65,0.459565,0,0.775593,0
13119.12,0.286818,2,0.915030,0
13226.91,0.578865,1,0.412903,0
13793.04,0.182329,5,0.637829,1
10099.49,0.430805,5,0.657008,1
7940.34,0.762646,3,0.569945,1
4246.95,0.735332,5,0.037956,1
3727.13,0.588301,1,0.246121,0
3443.22,0.926410,0,0.600630,1
3613.17,0.924906,4,0.738156,1
13850.67,0.308592,0,0.423932,0
7096.04,0.031260,2,0.476983,0
4794.18,0.696305,3,0.384992,1
2092.56,0.775157,5,0.078161,1
11034.18,0.736357,5,0.237743,1
7800.54,0.949203,5,0.143919,1
5008.43,0.067560,0,0.307715,0
8731.53,0.414222,4,0.915716,1
9088.20,0.375497,4,0.728848,1
6243.46,0.772042,1,0.383054,1
4509.85,0.958595,3,0.714167,1
8976.80,0.438101,1,0.491501,0
7203.02,0.908605,1,0.294405,1
2810.07,0.014094,3,0.947278,1
5883.50,0.750729,5,0.151846,1
9110.62,0.346791,5,0.528323,1
13831.32,0.500898,2,0.947150,1
10375.14,0.387834,5,0.433274,1
7177.75,0.172206,3,0.408748,0
11546.98,0.478001,1,0.806422,0
6195.29,0.349092,0,0.809061,0
3735.27,0.452138,0,0.190599,0
13119.30,0.229463,2,0.852015,0
7829.33,0.151753,5,0.984629,1
13434.58,0.011926,2,0.980308,0
7778.83,0.592011,1,0.143510,0
11121.62,0.306281,5,0.141095,0
14530.45,0.306769,4,0.007955,0
12204.12,0.581600,3,0.910320,1
6230.74,0.172474,1,0.699977,0
5880.54,0.409827,5,0.840488,1
14808.91,0.639954,1,0.621156,0
14053.99,0.153935,4,0.620576,0
8353.32,0.097789,1,0.289941,0
9754.93,0.011894,2,0.013636,0
13360.62,0.330482,4,0.105570,0
7740.04,0.570721,3,0.483750,1
8459.57,0.046041,3,0.945952,0
4900.58,0.821607,4,0.044684,1
6265.78,0.110280,1,0.476740,0
12790.00,0.866294,4,0.140662,1
12807.62,0.676839,3,0.775911,1
6131.52,0.570432,3,0.017840,0
14886.25,0.757802,5,0.077253,1
14378.76,0.043598,0,0.179392,0
8665.21,0.572431,4,0.456816,1
6243.36,0.707960,2,0.107764,0
8617.33,0.786451,2,0.120319,0
14625.10,0.715048,5,0.552984,1
12975.04,0.796939,5,0.478757,1
2163.84,0.600120,5,0.649369,1
11541.17,0.782557,0,0.197322,0
10360.32,0.484022,5,0.491480,1
10482.64,0.065914,0,0.880984,0
12500.44,0.588567,1,0.522363,0
6806.53,0.215502,0,0.835020,0
12187.21,0.891504,2,0.298494,1
5545.82,0.787025,0,0.086949,0
3051.60,0.351445,4,0.642800,1
11355.46,0.109714,1,0.598624,0
6508.54,0.219761,4,0.600229,1
4969.52,0.041288,2,0.844736,0
3672.34,0.471958,5,0.987718,1
9256.57,0.558546,5,0.750513,1
11355.55,0.582560,3,0.857687,1
11346.66,0.248420,3,0.079178,0
11193.27,0.121957,5,0.016860,0
9602.17,0.471913,2,0.247051,0
7506.76,0.990490,3,0.523965,1
14401.08,0.630334,5,0.105679,1
12585.48,0.793458,3,0.615974,1
2428.38,0.108702,3,0.672038,1
10067.48,0.702886,2,0.432694,1
14216.13,0.748308,3,0.018361,0
8603.64,0.517872,3,0.684805,1
7049.44,0.279380,5,0.593977,1
3122.11,0.987129,3,0.117742,1
13894.00,0.851244,2,0.198876,0
10127.87,0.349218,0,0.008347,0
7595.60,0.626526,3,0.899039,1
2843.61,0.306593,4,0.306049,1
3351.52,0.543474,3,0.429692,1
7179.80,0.297715,4,0.366949,1
5328.53,0.458247,1,0.887617,1
7513.14,0.751696,5,0.437032,1
10730.85,0.098742,3,0.496601,0
5648.01,0.797356,1,0.278655,1
5109.81,0.371216,1,0.955854,1
13302.69,0.967338,0,0.470668,0
13914.80,0.810196,3,0.389110,1
3333.90,0.458299,3,0.243113,1
4735.43,0.707653,4,0.168880,1
9949.76,0.748304,1,0.576707,1
11562.34,0.540216,1,0.760027,0
6445.93,0.696308,0,0.447264,0
6648.54,0.375701,1,0.539967,0
12793.74,0.606873,0,0.293631,0
12447.21,0.783515,3,0.076311,0
7056.02,0.880446,2,0.776347,1
14185.23,0.110488,3,0.099309,0
11661.31,0.315313,4,0.118296,0
3357.05,0.012364,2,0.603466,0
6137.19,0.778176,1,0.429330,1
14574.59,0.637099,5,0.924618,1
5368.38,0.771434,3,0.680199,1
4872.59,0.838305,1,0.186699,1
12082.23,0.359880,0,0.188507,0
12417.48,0.997236,5,0.764227,1
7640.45,0.289445,5,0.004626,0
6581.40,0.739463,2,0.710872,1
13506.96,0.472642,4,0.843844,1
11009.15,0.456977,3,0.142106,0
2580.61,0.478453,1,0.020402,0
9133.10,0.913244,0,0.226358,0
4214.25,0.444987,0,0.748005,0
4504.03,0.045696,4,0.769832,1
11511.39,0.790103,2,0.150568,0
5615.43,0.802776,5,0.558858,1
6264.59,0.186002,2,0.074974,0
5937.72,0.511740,0,0.950468,1
4768.77,0.438946,0,0.125422,0
9333.70,0.562295,1,0.095514,0
6748.23,0.991263,4,0.260116,1
11576.55,0.146967,0,0.772442,0
11016.55,0.029055,5,0.501590,0
9452.11,0.173595,1,0.443478,0
6452.64,0.508536,0,0.713192,0
9554.85,0.334558,2,0.432431,0
11700.38,0.606732,0,0.253423,0
8196.35,0.573183,3,0.572569,1
10422.48,0.132726,0,0.926396,0
4990.20,0.824625,3,0.665869,1
2529.52,0.568594,5,0.357966,1
11251.99,0.593289,5,0.296047,1
5508.31,0.602829,3,0.846279,1
4876.95,0.707921,4,0.503994,1
4160.99,0.437307,0,0.221458,0
9448.18,0.972714,4,0.695334,1
5847.09,0.117727,2,0.008569,0
3720.86,0.362841,0,0.159632,0
5931.14,0.051227,2,0.073502,0
4789.26,0.366514,2,0.326490,0
3889.16,0.837336,5,0.119411,1
12478.95,0.506994,3,0.471499,0
7515.68,0.305149,1,0.379246,0
6968.36,0.769734,0,0.889868,1
8149.87,0.157774,3,0.524177,0
9521.18,0.718290,5,0.268943,1
6747.49,0.263930,4,0.760725,1
13177.12,0.907616,0,0.805071,1
13624.59,0.508430,4,0.432045,1
12778.90,0.850373,5,0.925338,1
7405.22,0.456687,3,0.724290,1
9896.32,0.376331,3,0.738026,1
5159.52,0.664205,5,0.065985,1
8382.80,0.467498,3,0.655713,1
3916.52,0.960756,4,0.443223,1
11912.41,0.539640,3,0.019145,0
3580.73,0.731907,1,0.749535,1
14134.83,0.999118,5,0.297364,1
9710.07,0.136201,4,0.742339,1
14264.56,0.076668,4,0.543877,0
11231.50,0.006845,2,0.212990,0
7404.81,0.781984,0,0.227593,0
9712.77,0.957937,5,0.436770,1
7505.45,0.794647,5,0.084083,1
10736.37,0.442543,0,0.608658,0
3223.94,0.064415,2,0.003999,0
3524.89,0.974361,0,0.333191,1
8195.35,0.027006,1,0.141261,0
12089.82,0.551625,5,0.420605,1
3982.60,0.884554,5,0.231412,1
3011.23,0.110403,4,0.068091,0
6841.99,0.105621,3,0.677217,0
12387.47,0.155074,4,0.649541,0
2326.72,0.141809,2,0.708219,1
4743.46,0.604090,4,0.649709,1
4341.93,0.433277,4,0.208994,1
8572.45,0.623507,0,0.529086,0
11894.32,0.248728,1,0.562672,0
4555.91,0.217461,1,0.744099,0
2290.45,0.031776,1,0.248219,0
9245.33,0.948593,0,0.845634,1
13516.27,0.371519,5,0.505846,1
13968.04,0.622232,5,0.330860,1
13462.97,0.862854,1,0.879015,1
12598.23,0.501948,3,0.879476,1
8796.18,0.473779,0,0.578763,0
8492.55,0.583816,1,0.135686,0
4196.14,0.693664,1,0.648642,1
6522.91,0.639806,1,0.562104,1
6867.90,0.531828,5,0.324442,1
4765.51,0.258199,5,0.704967,1
8713.60,0.248714,3,0.804720,1
4725.02,0.786021,4,0.113800,1
14006.52,0.094633,3,0.338449,0
13156.34,0.972124,1,0.450426,1
3077.42,0.054864,1,0.265919,0
2383.14,0.740529,5,0.489210,1
11596.19,0.245137,5,0.143678,0
14510.91,0.698369,4,0.335818,1
13702.41,0.106075,4,0.687261,0
12938.13,0.181756,3,0.362196,0
4855.57,0.470372,4,0.390785,1
8450.89,0.763265,0,0.451041,0
13689.24,0.590077,1,0.072495,0
2783.39,0.938581,4,0.427457,1
7756.36,0.028049,2,0.986635,0
3840.43,0.888669,3,0.531526,1
12494.11,0.983359,3,0.443863,1
12477.59,0.011029,2,0.622341,0
5923.27,0.252707,3,0.023359,0
12327.67,0.039744,2,0.151663,0
11576.60,0.142394,3,0.400495,0
8865.80,0.035612,3,0.544968,0
2026.99,0.717544,0,0.275575,0
5836.28,0.500935,3,0.585902,1
3930.77,0.682953,5,0.990422,1
3330.75,0.050954,1,0.792383,0
13700.14,0.960275,4,0.929101,1
14903.72,0.927227,5,0.033292,1
2025.27,0.387887,0,0.749174,0
8694.42,0.958889,4,0.689342,1
11558.02,0.195920,5,0.040580,0
6755.74,0.852858,1,0.732132,1
14979.59,0.994540,4,0.698153,1
13344.73,0.073320,4,0.109084,0
3667.89,0.193456,5,0.927095,1
6204.49,0.909748,0,0.352103,1
10719.48,0.557979,1,0.145116,0
12518.00,0.575352,2,0.163519,0
3896.56,0.350417,5,0.568978,1
10990.28,0.497847,2,0.846999,1
6076.72,0.920592,2,0.100997,1
10500.68,0.403670,0,0.687006,0
5260.74,0.161866,5,0.945156,1
5054.48,0.629753,5,0.170135,1
3703.24,0.997132,4,0.206334,1
4864.59,0.968017,4,0.399873,1
5013.99,0.652494,5,0.554028,1
14965.24,0.842008,4,0.060296,1
7016.47,0.393312,3,0.708132,1
10926.93,0.387944,0,0.334155,0
8146.84,0.754730,4,0.756271,1
5902.75,0.838352,5,0.274215,1
10311.43,0.941109,2,0.427251,1
11727.71,0.390140,1,0.635375,0
9965.52,0.165559,3,0.253832,0
8100.34,0.144085,5,0.026660,0
13688.97,0.013194,1,0.298832,0
4280.32,0.412829,0,0.089298,0
12114.87,0.293954,3,0.762403,0
7060.23,0.129008,0,0.843857,0
12582.99,0.891869,4,0.324245,1
10186.79,0.454312,1,0.929308,0
5831.30,0.008019,3,0.746811,0
6422.06,0.871253,5,0.064122,1
9720.13,0.146980,5,0.760725,1
12969.33,0.052759,1,0.463585,0
11163.83,0.200895,1,0.962071,0
13694.65,0.096076,3,0.700410,0
5968.68,0.262763,3,0.446076,0
10211.42,0.684901,0,0.020809,0
9213.68,0.510059,0,0.001442,0
6474.98,0.827639,0,0.669607,1
7742.85,0.506513,4,0.237657,1
13814.49,0.058677,4,0.292433,0
3387.69,0.562627,2,0.781105,1
14073.69,0.601358,1,0.495836,0
5130.58,0.384298,4,0.763956,1
9467.28,0.216563,2,0.881239,0
5756.02,0.539793,2,0.093812,0
9087.71,0.119817,0,0.992970,0
14881.73,0.714947,5,0.724192,1
2256.79,0.871921,5,0.456917,1
6025.84,0.270498,0,0.280751,0
4734.64,0.176704,5,0.195602,1
9568.88,0.823385,1,0.129592,0
3490.82,0.854499,3,0.269501,1
3595.98,0.576316,3,0.589322,1
8588.21,0.265634,2,0.959757,1
7043.77,0.432844,5,0.586072,1
13665.04,0.865241,4,0.336254,1
4418.23,0.414539,4,0.369766,1
12535.83,0.216027,5,0.841029,1
13636.19,0.116542,4,0.519173,0
8322.76,0.286834,5,0.363821,1
6200.83,0.096271,1,0.583563,0
6859.11,0.007477,1,0.042715,0
11047.13,0.737288,5,0.689392,1
3655.56,0.318084,2,0.901337,1
6928.73,0.910818,0,0.326571,0
13440.57,0.659999,3,0.662855,1
13624.55,0.606782,4,0.975800,1
3494.02,0.603025,5,0.859077,1
4355.99,0.393550,3,0.177961,0
